NodeID,ProdServer,TH_NodeType,TH_ServerType,Caption,Sysname,Vendor,Location,LastSync,MachineType,External,NodeName,DetailsURL,DisplayName,Category,TH_APPS,TH_Location,TH_PHI_Data,TH_ServerFunction,TH_TPOC_1,TH_TPOC_2
2488,FALSE,Server,Virtual,dc-isep02.thadmin.com,,Unknown,,2020-02-13T13:40:49.6100000,Unknown,FALSE,dc-isep02.thadmin.com,/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:2488,dc-isep02.thadmin.com,0,,HVDC,,Infrastructure,,
2496,FALSE,Server,Physical,dc-isep04.thadmin.com,,Unknown,,2020-02-13T13:39:43.1000000,Unknown,FALSE,dc-isep19.thadmin.com,/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:2496,dc-isep04.thadmin.com,0,,HVDC,,Infrastructure,,
2497,FALSE,Server,Virtual,dc-isep01.thadmin.com,,Unknown,,2020-02-13T13:40:48.2970000,Unknown,TRUE,dc-isep21.thadmin.com,/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:2497,dc-isep01.thadmin.com,0,,HVDC,,Infrastructure,,
3001,FALSE,Server,Virtual,dc-isep01.thadmin.com,,Unknown,,2020-02-13T13:40:48.2970000,Unknown,TRUE,dc-isep21.thadmin.com,/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:2497,dc-isep01.thadmin.com,0,,HVDC,,Infrastructure,,
3002,FALSE,Server,Virtual,dc-isep01.thadmin.com,,Unknown,,2020-02-13T13:40:48.2970000,Unknown,TRUE,dc-isep21.thadmin.com,/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:2497,dc-isep01.thadmin.com,0,,HVDC,,Infrastructure,,
